Archivo,ID,Nombre NFT,Nombre Real,Confianza
OYRRU.jpg,1,Lionel Satoshi,Lionel Messi,99%
suDeW.jpg,2,Dibu De-Fi,Emiliano Martínez,96%
xbQ7X.jpg,3,Julian Bull-varez,Julián Álvarez,94%
vIqWX.jpg,4,Enzo Ether,Enzo Fernández,92%
tAyKc.jpg,5,Rodrigo De-Pool,Rodrigo De Paul,92%
YFhoE.jpg,6,Angel Di Merkle,Ángel Di María,90%
KPnuU.jpg,7,Alexis Mac-Chain,Alexis Mac Allister,93%
mspm6.jpg,8,Cuti Crypt,Cristian Romero,94%
TY3Ck.jpg,9,Lisandro Butcher-DAO,Lisandro Martínez,91%
ZWtiS.jpg,10,Nahuel Mo-Wallet,Nahuel Molina,89%
UQLef.jpg,11,Nico Taglia-Token,Nicolás Tagliafico,87%
OBw9D.jpg,12,Kylian M-Bypass-pé,Kylian Mbappé,95%
t50Ye.jpg,13,Antoine G-ZkSync,Antoine Griezmann,94%
t4uPK.jpg,14,Ousmane De-Shard,Ousmane Dembélé,90%
Xe7eB.jpg,15,Eduardo Cama-Logic,Eduardo Camavinga,91%
v7dSE.jpg,16,Theo Shiller,Theo Hernández,93%
tRJVF.jpg,17,Mike Maignan-Admin,Mike Maignan,93%
Fq5bx.jpg,18,Dayot Upame-Shield,Dayot Upamecano,88%
hpyIm.jpg,19,Aurélien Tchoua-Miner,Aurélien Tchouaméni,91%
QDJSS.jpg,20,Benjamin Pavar-Chain,Benjamin Pavard,89%
mgWOC.jpg,21,Olivier Gi-Roulette,Olivier Giroud,95%
RLqjT.jpg,22,Hugo Llo-Risk,Hugo Lloris,87%
NjE3G.jpg,23,Raphaël Var-Node,Raphaël Varane,92%
n2J38.jpg,24,Jules Koun-Dé,Jules Koundé,90%
NvnBu.jpg,25,William Sal-Byte,William Saliba,94%
K6Fd8.jpg,26,Bukayo Saka-Token,Bukayo Saka,96%
LROxo.jpg,27,Phil Foden-Hash,Phil Foden,93%
JPaQf.jpg,28,Jack Grealish-Liquid,Jack Grealish,91%
l8CRI.jpg,29,Harry Kane-Proof,Harry Kane,95%
lmLFx.jpg,30,Declan Rice-Stake,Declan Rice,89%
VJLYi.jpg,31,Kyle Walker-Node,Kyle Walker,88%
SM6kf.jpg,32,John Stones-Vault,John Stones,90%
goB4I.jpg,33,Luke Shaw-Chain,Luke Shaw,87%
fPrj9.jpg,34,Trent A-Arnold,Trent Alexander-Arnold,92%
SJTt2.jpg,35,Vinicius Jpeg Jr,Vinícius Júnior,97%
ryzG4.jpg,36,Alisson Vault-son,Alisson Becker,92%
yZzgF.jpg,37,Rodrygo-Yield,Rodrygo Goes,91%
zfItP.jpg,38,Bruno Guima-Liquid,Bruno Guimarães,89%
zqyKm.jpg,39,Casemiro-Mint,Casemiro,93%
KOXrZ.jpg,40,Marquinhos-Server,Marquinhos,90%
Y6efy.jpg,41,Eder Mili-Pixel,Éder Militão,88%
WQ9lT.jpg,42,Danilo-Legacy,Danilo,89%
kNPyw.jpg,43,Lucas Paque-Frame,Lucas Paquetá,91%
(procesado),44,Endrick Moon,Endrick,93%
hRD93.jpg,45,Lamine Ya-Alpha,Lamine Yamal,96%
onyib.jpg,46,Pedri-Script,Pedri,94%
zPJ5K.jpg,47,Rodri Proof-of-Stake,Rodri,92%
pbGcR.jpg,48,Gavi-Gas,Gavi,90%
hBGll.jpg,49,Nico Shard-Williams,Nico Williams,95%
aZL29.jpg,50,Unai Simon-Key,Unai Simón,88%
