Kaoru Mitoma
Junya Itō
Kō Itakura
Hidemasa Morita
Kyogo Furuhashi
Ayase Ueda
Edouard Mendy
Idrissa Gueye
Ismaila Sarr
Abdou Diallo
Youssouf Sabaly
Woo-yeong Jeong
Young-woo Seol
Young-gwon Kim
Hyeon-woo Jo
Jae-sung Lee
Ajdin Hrustic
Riley McGree
Kye Rowles
Nathaniel Atkinson
Martin Boyle
Alexander Bah
Victor Kristiansen
Morten Hjulmand
Denis Zakaria
Silvan Widmer
Vanja Milinković-Savić
Nikola Milenković
Saša Lukić
Nemanja Gudelj
Andrija Živković
Jan Bednarek
Paweł Dawidowicz
Oleksandr Zinchenko
Illia Zabarnyi
Heorhiy Sudakov
Mykola Shaparenko
Taras Stepanenko
Yukhym Konoplya
Christoph Baumgartner
Marko Arnautović
Alexander Schlager
