Stefan Lainer
Camilo Vargas
Jhon Córdoba
Yáser Asprilla
Hernán Galíndez
Alan Franco
Miguel Almirón
Gustavo Gómez
Omar Alderete
Gatito Fernández
Fabián Balbuena
Mathías Villasanti
Diego Gómez
Adam Bareiro
Junior Alonso
Salomón Rondón
Yangel Herrera
Eduard Bello
Rafael Romo
Jon Aramburu
José Martínez
Telasco Segovia
Alexis Sánchez
Eduardo Vargas
Darío Osorio
Claudio Bravo
Mauricio Isla
Víctor Dávila
Piero Quispe
Carlos Zambrano
Renato Tapia
Alexander Callens
Sergio Peña
Joao Grimaldo
Anthony Mandréa
Thomas Partey
Lawrence Ati-Zigi
Alidu Seidu
Ernest Nuamah
Gideon Mensah
Stanley Nwabali
William Troost-Ekong
